Date,Open,High,Low,Close,Adj Close,Volume
2023-02-08,814.299988,818.099976,798.500000,800.099976,800.099976,319321
2023-02-09,807.700012,813.799988,806.900024,809.200012,809.200012,275408
2023-02-10,804.700012,808.000000,790.799988,797.599976,797.599976,395687
2023-02-13,800.500000,812.900024,798.000000,810.299988,810.299988,244265
2023-02-14,811.299988,817.599976,804.500000,810.500000,810.500000,263811
2023-02-15,809.299988,830.000000,807.599976,822.599976,822.599976,378844
2023-02-16,821.799988,829.200012,818.099976,823.299988,823.299988,314812
2023-02-17,814.200012,823.599976,804.599976,818.400024,818.400024,439757
2023-02-20,820.500000,820.500000,810.099976,813.599976,813.599976,168536
2023-02-21,808.599976,812.299988,798.500000,808.900024,808.900024,264826
2023-02-22,801.400024,812.099976,793.900024,809.500000,809.500000,289482
2023-02-23,809.700012,814.299988,806.599976,809.000000,809.000000,273432
2023-02-24,811.400024,812.700012,777.299988,777.299988,777.299988,839007
2023-02-27,788.299988,800.200012,787.599976,794.799988,794.799988,312317
2023-02-28,790.000000,795.799988,787.400024,789.000000,789.000000,440118
2023-03-01,803.299988,810.500000,790.900024,792.200012,792.200012,379198
2023-03-02,785.299988,805.900024,780.900024,804.299988,804.299988,350482
2023-03-03,808.599976,817.099976,804.400024,815.099976,815.099976,302048
2023-03-06,826.000000,830.700012,820.799988,825.000000,825.000000,333821
2023-03-07,816.700012,826.400024,815.700012,816.099976,816.099976,307546
2023-03-08,805.000000,818.299988,804.400024,810.400024,810.400024,306714
2023-03-09,809.000000,811.000000,802.599976,805.200012,805.200012,305905
2023-03-10,790.000000,807.299988,785.000000,802.599976,802.599976,424800
